Date,Open,High,Low,Close,Adj Close,Volume
02-01-2024,1484.050049,1488.800049,1461.349976,1469.550049,1428.033203,1440888
03-01-2024,1460,1465,1435.5,1437.75,1397.13147,1651716
04-01-2024,1437,1444.800049,1417.150024,1419.949951,1379.834229,3392241
05-01-2024,1425,1438.849976,1421.900024,1432.800049,1392.321289,1776925
08-01-2024,1435,1452.599976,1430.550049,1447.900024,1406.994751,2025264
09-01-2024,1460.599976,1480.949951,1452.349976,1460.400024,1419.141724,3119270
10-01-2024,1474.900024,1508,1466.050049,1492.099976,1449.946045,4368914
11-01-2024,1500,1500,1474,1484.800049,1442.852295,2271368
12-01-2024,1505,1555,1498.5,1540.800049,1497.270142,5862043
15-01-2024,1610,1619.599976,1575.5,1588.199951,1543.331055,9712071
16-01-2024,1587,1587,1538,1555.449951,1511.506348,4459799
17-01-2024,1520,1585,1516.550049,1575.900024,1531.37854,3846289
18-01-2024,1577,1584.199951,1537.050049,1567.550049,1523.264526,3205598
19-01-2024,1570,1590,1558.050049,1567.949951,1535.406982,2374099
23-01-2024,1558.900024,1567.900024,1517.050049,1523.650024,1492.026611,3196630
24-01-2024,1530.099976,1581.199951,1523.699951,1576.400024,1543.681763,2136023
25-01-2024,1570,1570,1536.75,1550.25,1518.074463,2641656
29-01-2024,1565,1588.599976,1550.25,1574.550049,1541.870117,2521598
30-01-2024,1580,1592.449951,1555,1559.300049,1526.936768,1939386
31-01-2024,1559.300049,1581.300049,1546.349976,1576,1543.290039,7025931
01-02-2024,1576,1597,1566.349976,1577.400024,1544.661011,2845408
02-02-2024,1584.800049,1613.900024,1575,1583.75,1550.879272,2337374
05-02-2024,1584.949951,1588.5,1551.449951,1555.349976,1523.068604,1452864
06-02-2024,1566,1627,1558.050049,1623.75,1590.04895,4988311
07-02-2024,1628,1629.900024,1598.949951,1615.349976,1581.823364,3320199
08-02-2024,1626,1647.699951,1617.300049,1633.800049,1599.890503,3496692
09-02-2024,1640,1646.75,1614.650024,1630.599976,1596.756714,3341297
12-02-2024,1639,1685,1639,1666.949951,1632.352417,4885445
13-02-2024,1675,1675,1648.599976,1665.599976,1631.030396,3129897
14-02-2024,1649.75,1676.900024,1625.449951,1671.5,1636.807983,1386643
15-02-2024,1678,1696.5,1650.099976,1662.550049,1628.043701,2555162
16-02-2024,1675,1677,1650.050049,1667.449951,1632.841919,1776881
19-02-2024,1670,1682.949951,1659.650024,1675.25,1640.480103,762624
20-02-2024,1661,1672.75,1645,1663.050049,1628.533447,2240414
21-02-2024,1655.550049,1664.800049,1632.050049,1636.300049,1602.338501,2890991
22-02-2024,1644,1691.400024,1639,1686.400024,1651.398682,3820901
23-02-2024,1697,1697.349976,1663.449951,1665.75,1631.177246,2191549
26-02-2024,1665.75,1668.849976,1639.5,1649.800049,1615.558472,1844253
27-02-2024,1649,1673.400024,1648,1658.800049,1624.371582,2049420
28-02-2024,1664.699951,1672,1644.199951,1651.900024,1617.614746,936575
29-02-2024,1642.150024,1677.75,1636.650024,1663.849976,1629.31665,3532888
01-03-2024,1675.449951,1679.199951,1639.099976,1644.099976,1609.976563,2371138
04-03-2024,1649,1654,1635,1637.949951,1603.954224,1788071
05-03-2024,1624,1629.949951,1607.050049,1619.349976,1585.740356,3339546
06-03-2024,1613,1650,1603.849976,1644.199951,1610.074585,2366177
07-03-2024,1650,1654.550049,1630.099976,1637.650024,1603.660522,3181239
11-03-2024,1655,1659.800049,1632.050049,1638.650024,1604.639771,2970902
12-03-2024,1635.900024,1665,1633.050049,1635.599976,1601.653076,2414182
13-03-2024,1638.75,1651.25,1610.349976,1631.5,1597.638062,2564135
14-03-2024,1634,1683,1610,1679.25,1644.397095,3513306
15-03-2024,1677,1677,1642.849976,1647.300049,1613.110229,3931561
18-03-2024,1649.900024,1663.300049,1634.25,1643.400024,1609.29126,1183544
19-03-2024,1641.550049,1641.550049,1594.099976,1599.150024,1565.959595,1915379
20-03-2024,1604.75,1619.099976,1578.099976,1587.099976,1554.159668,1815178
21-03-2024,1608,1619.949951,1583.349976,1595.800049,1562.679199,2684744
22-03-2024,1560,1571.449951,1508.199951,1557.849976,1525.516724,7468824
26-03-2024,1562.25,1592.550049,1555.550049,1562.25,1529.825439,4496344
27-03-2024,1569,1576.849976,1540,1546.199951,1514.108521,2589697
28-03-2024,1549,1561.050049,1531,1543.550049,1511.51355,5301493
01-04-2024,1549,1569,1548,1556.699951,1524.390625,1014857
02-04-2024,1559,1565,1525.099976,1528.300049,1496.580078,2031775
03-04-2024,1525.349976,1558.449951,1518,1535.849976,1503.973267,3343884
04-04-2024,1540.800049,1552.5,1518.699951,1539.650024,1507.694458,3388449
05-04-2024,1542.449951,1547.699951,1523.800049,1545.25,1513.178223,2773570
08-04-2024,1554,1554,1537.650024,1540.050049,1508.086304,1820136
09-04-2024,1540,1561.800049,1534.550049,1540.5,1508.526855,2432095
10-04-2024,1541.050049,1552.150024,1536.199951,1539.150024,1507.204956,1829986
12-04-2024,1537,1542.949951,1516.199951,1521.5,1489.921265,4319991
15-04-2024,1507.099976,1530.5,1494,1505.050049,1473.812622,3295684
16-04-2024,1486.349976,1501.599976,1467.300049,1477.300049,1446.638672,2446933
18-04-2024,1477.050049,1480.900024,1452.099976,1466.849976,1436.405396,5180223
19-04-2024,1442,1455.5,1435,1447.5,1417.457031,5219506
22-04-2024,1452.199951,1473.300049,1450.5,1465.900024,1435.475098,1939632
23-04-2024,1474.900024,1501.449951,1471.099976,1486.650024,1455.794556,2783858
24-04-2024,1490,1496.949951,1476.300049,1479.25,1448.548096,1321471
25-04-2024,1479.949951,1515.050049,1479.949951,1504.150024,1472.931274,4558032
26-04-2024,1516.849976,1531.449951,1464.949951,1473.849976,1443.260132,4328477
29-04-2024,1415,1436,1381,1387.400024,1358.604492,11493223
30-04-2024,1376.400024,1397.900024,1362.449951,1366.599976,1338.236084,7606726
02-05-2024,1358,1377.900024,1358,1360.699951,1332.458618,6555505
03-05-2024,1370,1370,1333.550049,1348.050049,1320.071167,5964228
06-05-2024,1358,1365,1348.5,1358.800049,1330.598022,2504082
07-05-2024,1347.949951,1348.900024,1326.150024,1330.949951,1320.822876,5096525
08-05-2024,1330.949951,1334,1307.300049,1313.650024,1303.654663,6832455
09-05-2024,1315,1339,1314.5,1320.050049,1310.005981,5653762
10-05-2024,1320.099976,1322.900024,1303.599976,1316.199951,1306.185181,3357203
13-05-2024,1316.199951,1321.900024,1301.650024,1312.900024,1302.910278,2316566
14-05-2024,1322,1326.949951,1308.699951,1321.050049,1310.998291,3200462
15-05-2024,1319.25,1340.300049,1318.25,1332.900024,1322.758179,2975965
16-05-2024,1345,1357.800049,1328.5,1348.150024,1337.89209,5055915
17-05-2024,1351,1351,1330.199951,1333.199951,1323.055786,2487831
21-05-2024,1314,1349.849976,1314,1341.900024,1331.689697,4966721
22-05-2024,1348.949951,1352.900024,1340,1343.050049,1332.830933,2390777
23-05-2024,1346.650024,1358.449951,1338,1353.550049,1343.250977,3326149
24-05-2024,1360,1360,1340.849976,1345.199951,1334.964478,1769966
27-05-2024,1351,1359.599976,1338,1353.300049,1343.00293,1942325
28-05-2024,1357.849976,1363.300049,1345.599976,1358.400024,1348.064087,2147233
29-05-2024,1366,1366.599976,1346.949951,1353.099976,1342.804443,3845920
30-05-2024,1346,1351.550049,1325.099976,1331.849976,1321.716064,4150461
31-05-2024,1331.849976,1340.900024,1315.75,1324.099976,1314.025024,10319045
03-06-2024,1350.550049,1354.75,1309.849976,1314.449951,1304.448486,5384064
04-06-2024,1325,1325,1235,1303.550049,1293.63147,5447244
05-06-2024,1320,1356.900024,1316.099976,1343.699951,1333.47583,3005139
06-06-2024,1354,1399.800049,1350.900024,1397.5,1386.866577,5936709
07-06-2024,1407,1438.650024,1398,1431.5,1420.60791,5884025
10-06-2024,1440,1442,1397.5,1418.75,1407.954834,3293739
11-06-2024,1425,1437.949951,1415.400024,1428.800049,1417.928467,2269082
12-06-2024,1472,1472,1434.5,1438.75,1427.802734,5990861
13-06-2024,1447.75,1457.699951,1437.099976,1444.150024,1433.161621,4232861
14-06-2024,1444.150024,1446,1424.400024,1431.050049,1420.161377,3065114
18-06-2024,1431.050049,1439.75,1427.050049,1437.199951,1426.264404,2223029
19-06-2024,1440.050049,1451.900024,1430.300049,1445.849976,1434.848633,3117522
20-06-2024,1448.949951,1448.949951,1429.550049,1443.449951,1432.466919,3163919
21-06-2024,1462,1481.949951,1439.199951,1447.849976,1436.833496,6489262
24-06-2024,1437.849976,1443.949951,1426.599976,1440.849976,1429.886719,1988692
25-06-2024,1440.949951,1450.099976,1426.449951,1447.949951,1436.932617,2079037
26-06-2024,1447.949951,1453.300049,1438.199951,1443.699951,1432.714966,1917424
27-06-2024,1435,1460.550049,1423.5,1454.900024,1443.829834,6613193
28-06-2024,1468,1468.699951,1442,1459.599976,1448.494019,4943575
01-07-2024,1465,1478.599976,1455,1468.849976,1457.673706,3723295
02-07-2024,1475,1492.449951,1473,1480.800049,1469.532837,3811366
03-07-2024,1489,1489,1471.199951,1481,1469.731201,2070876
04-07-2024,1485,1534.550049,1485,1522.349976,1510.766602,6822557
05-07-2024,1523,1529.25,1505.550049,1519.400024,1507.839111,3061687
08-07-2024,1528,1540,1506.199951,1533.400024,1521.732544,2939620
09-07-2024,1533.400024,1546.300049,1525,1531.099976,1519.449951,2658608
10-07-2024,1531.099976,1532.599976,1487.849976,1509.949951,1498.460938,3507096
11-07-2024,1515,1534,1508.050049,1511.900024,1500.396118,3304053
12-07-2024,1530,1566,1510.5,1560.199951,1548.328613,6430647
15-07-2024,1580,1636.400024,1567.400024,1569.599976,1557.657104,10337489
16-07-2024,1565,1583,1555,1569.550049,1557.607544,3540650
18-07-2024,1558.050049,1599.25,1557,1594.550049,1582.417236,4399468
19-07-2024,1610.5,1616.449951,1588.599976,1594.550049,1582.417236,5633838
22-07-2024,1588.599976,1594.5,1570.900024,1577.099976,1565.099976,2704495
23-07-2024,1574,1600.800049,1551.099976,1598.349976,1598.349976,2907674
24-07-2024,1594,1598,1576.849976,1583.699951,1583.699951,2484299
25-07-2024,1570,1594,1562.849976,1587.599976,1587.599976,2934731
26-07-2024,1602.800049,1629,1594,1626.599976,1626.599976,1366640
